uid	url	rating	tags
127	http://lobotomy.me/2012-12-01-rwth-ctf-2012---azure-coast---writeup-part1/	0	
128	http://lobotomy.me/2012-12-01-rwth-ctf-2012---azure-coast---writeup-part2/	0	
129	http://piggybird.net/?p=343	0	
130	http://smokedchicken.org/2012/12/phdays-ctf-quals-2013-real-world-500.html	0	python
131	http://blog.ipwned.it/phdaysctf-2012-realworld-200-2/	0	
132	http://blog.ipwned.it/phdaysctf-2012-misc200/	0	
133	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#f100	0	
134	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#rw100	0	
135	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#rw200	0	
136	https://gist.github.com/4317091#comment-653658	0	
137	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#rw300	0	
138	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#rw400	0	
139	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#m100	0	
140	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#m200	0	
141	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#m400	0	
142	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#p300	0	
143	http://darkbyte.ru/2012/61/phdays-quals-2012-writeup/#p400	0	
144	http://f00l.de/blog/?p=1372	0	
145	http://f00l.de/blog/?p=1373	0	
146	http://f00l.de/blog/?p=1444	0	
147	http://blog.botbie.com/2012/12/17/phd-ctf-quals-2012-forensic-100-writeup/	0	
148	http://blog.botbie.com/2012/12/17/phd-ctf-quals-2012-misc-200-writeup/	0	
149	http://blog.botbie.com/2012/12/18/phd-ctf-quals-2012-bin-100-writeup/	0	
150	http://f00l.de/blog/?p=1477	0	
151	http://codezen.fr/2012/12/17/phdays-ctf-quals-pwn300-southpark-write-up-python-byte-code-version/	0	
152	http://blog.sergeybelove.ru/ctf/426	0	
153	http://www.blue-lotus.net/phday-ctf-2012-quals-pwn300/	0	
154	http://www.blue-lotus.net/phday-ctf-2012-quals-misc400/	0	
155	http://www.blue-lotus.net/phday-ctf-2012-quals-bin100/	0	
156	http://www.blue-lotus.net/phday-ctf-2012-quals-pwn200/	0	
157	http://www.blue-lotus.net/phday-ctf-2012-quals-f100/	0	
158		0	
159	http://www.blue-lotus.net/phday-ctf-2012-quals-pwn-400/	0	
160	http://www.blue-lotus.net/phday-ctf-2012-quals-real-world-200/	0	
161	http://www.blue-lotus.net/phday-ctf-2012-quals-real-world-100/	0	
162	http://www.blue-lotus.net/phday-ctf-2012-quals-misc200/	0	
163	http://magic-hat.ru/for400phdays-quals-2012-%D1%81%D0%BA%D0%B0%D0%B7-%D0%BE-%D1%82%D0%BE%D0%BC-%D0%BA%D0%B0%D0%BA-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD-%D0%B8-%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81%D0%B5%D1%80	0	
164	http://nightsite.info/blog/7042-phd-quals-2012-binary-300.html	0	
165	http://nightsite.info/blog/7061-phd-quals-2012-forensic-200.html	0	
166	http://nightsite.info/blog/7060-phd-quals-2012-misc-100.html	0	
167	http://hackucf.org/blog/phdays-2012-pwn-300/	0	
168	http://hackucf.org/blog/phdays-2012-real-world-200/	0	
169	http://nightsite.info/blog/7202-phd-quals-2012-binary-400.html	0	
170		0	
171	http://hackucf.org/blog/29c3ctf-regexdb-100/	0	
172	http://blogs.tunelko.com/2012/12/30/29c3-ctf-node-writeup/	0	
173	http://tasteless.se/2012/12/29c3-ctf-pwsafe/	0	
174	http://codezen.fr/2012/12/30/29c3-ctf-exploitation-200-ru1337-write-up/	0	
175	http://twitter.com/YkthackLetm	0	
176	http://www.blue-lotus.net/ccc-ctf_node/	0	
177	http://www.blue-lotus.net/29c3ctf-shop-writeup/	0	
178	http://piggybird.net/?p=360	1.0	
179	http://piggybird.net/?p=369	1.0	
180	http://www.blue-lotus.net/29c3ctf-web300-pwsafe-writeup/	3.0	
181	http://eindbazen.net/2012/12/29c3-ctf-find-the-key/	0	
182	http://eindbazen.net/2012/12/29c3-ctf-proxy/	0	
183	http://eindbazen.net/2012/12/29c3-ctf-pwsafe/	0	
184	http://eindbazen.net/2012/12/29c3-ctf-shop/	0	
185	http://eindbazen.net/2012/12/29c3-ctf-web-42/	0	
